X,Y,OBJECTID,Block,Lot,PermitNum,VBN,DateIssue,DateIssued,ExistingUse,ProposedUse,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1425467.87775423,596774.675796643,34116,1161,011,BUSE-25-004534,Y,2026/01/12 00:00:00+00,Jan 12 2026 12,Dwelling: Rowhouse,Dwelling: Rowhouse,H,12,Oliver,1161 011,1221 N CENTRAL AVE
1425466.64645746,596790.508770227,34117,1161,012,BUSE-25-006113,Y,2026/03/13 00:00:00+00,Mar 13 2026 12,Single Family Dwelling,Single Family Dwelling,H,12,Oliver,1161 012,1223 N CENTRAL AVE
1425573.99237138,596771.376590639,34146,1161,033,USE2024-51656,Y,2024/04/10 00:00:00+00,Apr 10 2024 12,1-08,1-08,H,12,Oliver,1161 033,1218 N EDEN ST
1425733.99697264,596761.201414138,34158,1162,003,USE2018-51204,Y,2018/05/04 07:00:04+00,May  4 2018  7,1-08,1-08,H,12,Oliver,1162 003,1207 N EDEN ST
1425733.19382463,596777.038980886,34159,1162,004,USE2022-53468,Y,2022/06/06 00:00:00+00,Jun  6 2022 12,1-08,1-08,H,12,Oliver,1162 004,1209 N EDEN ST
1425732.36869505,596793.239407808,34160,1162,005,USE2022-53469,Y,2022/06/06 00:00:00+00,Jun  6 2022 12,1-08,1-08,H,12,Oliver,1162 005,1211 N EDEN ST
1425752.39260514,596853.399720564,34170,1162,009,USE2023-50949,Y,2023/04/03 00:00:00+00,Apr  3 2023 12,1-08,1-08,H,12,Oliver,1162 009,1219 N EDEN ST
1425808.95351563,596925.629562974,34185,1162,021,USE2023-53116,Y,2023/06/30 00:00:00+00,Jun 30 2023 12,1-08,1-08,H,12,Oliver,1162 021,1419 E PRESTON ST
1425942.0700473,596939.614115059,34191,1162,027,BUSE-25-003734,Y,2026/03/12 00:00:00+00,Mar 12 2026 12,Single Family Dwelling,Single Family Dwelling,H,12,Oliver,1162 027,1431 E PRESTON ST
1425968.60280263,596825.050039724,34199,1162,035,USE2016-02402,Y,2016/06/22 00:00:00+00,Jun 22 2016 12,MF,MF,H,12,Oliver,1162 035,1218 N CAROLINE ST
1426002.82255048,596724.560411304,34211,1162,041,USE2021-54996,Y,2021/11/01 00:00:00+00,Nov  1 2021 12,1-08,1-08,H,12,Oliver,1162 041,1206 N CAROLINE ST
1425815.17495988,596681.519814983,34217,1162,047,USE2016-04704,Y,2017/03/16 09:48:25+00,Mar 16 2017  9,SF,SF,H,12,Oliver,1162 047,1414 E BIDDLE ST
1425735.75746781,596677.207487643,34228,1162,052,USE2017-51897,Y,2017/12/06 14:30:02+00,Dec  6 2017  2,1-08,1-08,H,12,Oliver,1162 052,1404 E BIDDLE ST
1425534.73490398,597506.049990058,34243,1135,006,USE2021-51259,Y,2021/08/18 00:00:00+00,Aug 18 2021 12,1-08,1-08,I,12,Oliver,1135 006,1414 N EDEN ST
1425532.40748081,597549.525296807,34246,1135,009,USE2016-00105,Y,2016/01/14 00:00:00+00,Jan 14 2016 12,SF,SF,I,12,Oliver,1135 009,1420 N EDEN ST
